icao,airline,callsign
BOI,"2GO","ABAIR"
EVY,"34 Squadron, Royal Australian Air Force","Multiple"
GNL,"135 Airways","GENERAL"
WYT,"2 Sqn No 1 Elementary Flying Training School","WYTON"
TFU,"213th Flight Unit","THJY"
CHD,"223rd Flight Unit","CHKALOVSK-AVIA"
TTF,"224th Flight Unit","CARGO UNIT"
TWF,"247 Jet Ltd","CLOUD RUNNER"
SEC,"3D Aviation","SECUREX"
MLA,"40-Mile Air","MILE-AIR"
QRT,"4D Air","QUARTET"
PIU,"43 Air School","PRIMA"
WAZ,"Wizz Air Abu Dhabi","WIZZ SKY"
UBE,"Bees Airline","FLOWER BEE"
JYH,"9 Air","TRANS JADE"
BRO,"2Excel Aviation","BROADSWORD"
DWI,"Arajet","Arajet"
GBT,"A-Jet Aviation Aircraft Management","GLOBETROTTER"
AJR,"A-Jet Aviation Company","JET MONGOLIA"
SFM,"A-Safar Air Services","AIR SAFAR"
AJJ,"A2 Jet Leasing","ATLANTIC JET"
XXV,"AASANA",""
BBE,"Ababeel Aviation","BABEL AIR"
ABJ,"Abaeté Linhas Aéreas","ABAETE"
NKP,"Abakan Air","ABAKAN AIR"
ABG,"Abakan-Avia","ROYAL FLIGHT"
ABE,"Aban Air","ABAN"
MRP,"Abas","ABAS"
AHU,"ABC Air Hungary","ABC HUNGARY"
FTY,"ABC Bedarfsflug","FLY TYROL"
AAB,"Abelag Aviation","ABG"
BDV,"Aberdair Aviation","ABERDAV"
ROH,"Aberdair Aviation Ghana",""
ADJ,"Abidjan Air Cargo","ABICAR"
ABP,"ABS Jets","BAIR"
LTG,"ABSA Cargo","Tam Cargo"
TTN,"Absolute Flight Services","TITANIUM"
ABX,"ABX Air","ABEX"
IAE,"AC Insat-Aero",""
NCL,"ACA (Ancargo Air)","ANCARGO AIR"
ACD,"Academy Airlines","ACADEMY"
CYD,"AccessAir","CYCLONE"
CFM,"ACEF","ACEF"
ARO,"Acero Taxi","ACERO"
AES,"ACES Colombia","ACES"
BVR,"ACM Air Charter","BAVARIAN"
BJT,"ACM Aviation","BAY JET"
CRV,"Acropolis Aviation","ACROPOLIS"
ORS,"Action Air","AVIATION SERVICE"
AXQ,"Action Airlines (Action Air Charter)","ACTION AIR"
AVR,"Active Aero Charter, Inc.","ACTIVE AERO"
RRM,"Acvila Air-Romanian Carrier","AIR ROMANIA"
ADC,"AD Astra Executive Charter","AD ASTRA"
VUE,"AD Aviation","FLIGHTVUE"
ADE,"Ada Air","ADA AIR"
DHI,"Adam Air","ADAM SKY"
ADK,"ADC Airlines","ADCO"
ADW,"ADC Airways",""
DSC,"Addis Air Cargo Services","ADDIS CARGO"
DDS,"Addis Airlines","ADDIS LINE"
ADF,"Ade, Aviación Deportiva","ADE AVIACION"
TEC,"ADI Shuttle Group","TECHJET"
SWH,"Adler Aviation","SHOCKWAVE"
ADR,"Adria Airways","ADRIA"
DRO,"Adro Servicios Aereos","ADRO SERVICIOS"
ADV,"Advance Air Charters","ADVANCE"
AXX,"Advance Air Luftfahrtgesellschaft","SKY SHUTTLE"
AAX,"Advance Aviation","ADVANCE AVIATION"
XTJ,"Advance Aviation Services",""
WSN,"Advanced Air","WINGSPAN"
ADD,"Advanced Air Co.",""
ADV,"Advanced Flight Training","ADVANCED"
RDD,"Adygea Airlines","ADLINES"
DVN,"Adventia",""
EBS,"AEG Aviation Services",""
AEE,"Aegean Airlines","AEGEAN"
ALS,"Aeralp","AERALP"
AEF,"Aerea",""
DRD,"Aereo Dorado","AEREO DORADO"
FUT,"Aereo Futuro","AEREO FUTURO"
MMG,"Aereo Ruta Maya","RUTA MAYA"
AGI,"Aereo Transportes Los Angeles de America","ANGELES AMERICA"
WWG,"Aereo WWG","AERO-W"
AED,"Aernord","Aernspa"
AKR,"Aero Clinker","AERO CLINKER"
RRB,"Aero Club de Castellon",""
CND,"Aero Continente Dominicana","CONDOMINICANA"
ARP,"Aero Corporate","IVORYCORP"
AEK,"Aero Costa Rica","ACORISA"
EPU,"Aero Elite Acapulco","ELITACAPULCO"
XPN,"Aero Express",""
AJP,"Aero Jets Corporativos","AEROJETS"
TKJ,"AJet","ANATOLIAN"
OWN,"Aero Owen","AERO OWEN"
GHM,"Aero Service Bolivia",""
GLM,"Aero Services Mali","GLOBAL MALI"
GUE,"Aero Servicio Guerrero","AERO GUERRERO"
ASR,"Aero Sotravia","SOTRAVIA"
ABA,"Aero-Beta","AEROBETA"
UCR,"Aero-Charter Ukraine","CHARTER UKRAINE"
EAP,"Aero-Pyrenees","AERO-PYRENEES"
AJH,"Aeroaljarafe","ALJARAFE"
AOB,"Aerocaribe Coro","CARIBE CORO"
CRN,"Aero Caribbean","AEROCARIBBEAN"
ACR,"Aerocenter, Escuela de Formación de Pilotos Privados de Avión","AEROCENTER"
ERC,"Aerocharter",""
BSO,"Aeroclub Barcelona-Sabadell",""
NVA,"Aeroclub de Albacete",""
LUE,"Aeroclub de Alicante",""
MLL,"Aeroclub de Mallorca","MALLORCA"
AVX,"Aeroclub de Vitoria",""
CTD,"Aerocorporativos","AEROCORPORATIVOS"
RRO,"Aerocredo",""
DVI,"Aerodavinci","AERO DAVINCI"
FAQ,"Aerofaq",""
AFL,"Aeroflot","AEROFLOT"
PLS,"Aeroflot-Plus","AEROPLUS"
AEG,"Aerofumigaciones Sam","FUMIGACIONES SAM"
AGQ,"Aerogala","GALASERVICE"
ARH,"Aerohelicopteros","AEROHELCA"
BJU,"AeroJet","JET EXPRESS"
ARJ,"Aerojet de Costa Rica, S.A.",""
LFT,"Aerolift Company","LIFTCO"
LIN,"Aerolimousine","AEROLIMOUSINE"
PCP,"Aerolínea Principal Chile","PRINCIPAL"
ALT,"Aerolíneas Centrales","AERLINEAS CENTRALES"
AHL,"Aerolíneas Hidalgo","HIDALGO"
APR,"Aerolíneas Primordiales","AEROPERLAS"
LDL,"Aerologic",""
VSC,"Aeronautic de Los Pirineos",""
PSE,"Aeroservicio Sipse","SIPSE"
PSL,"Aeroservicios Corporativos De San Luis","CORSAN"
EAE,"Aeroservicios Ecuatorianos","AECA"
AES,"Aerosur Paraguay","AEROPARAGUAY"
BTS,"Aerotaxis Albatros","AEROLINEAS ALBATROS"
PRI,"Aerotransportes Privados","AEROPRIV"
PVA,"Aerotransportes Privados","TRANSPRIVADO"
VMX,"Aeroventas de Mexico","VENTA"
ABU,"Aerovías Bueno","AEROBUENO"
ACB,"African Cargo Services","AFRICARGO"
AAP,"Arabasco Air Services","ARABASCO"
AAR,"Americ Air","PATRIOT"
AAS,"Airtransservice","Aviaservice"
AAS,"Austrian Air Services","AIR SERVICES"
AAT,"Austrian Airtransport","AUSTRIAN CHARTER"
AAV,"Aly Aviation",""
AAW,"Austin Airways","AUSTIN"
AAW,"Allied Airways",""
AAW,"Almeta Air","ALMETA AIR"
AAZ,"Asian Air",""
ABT,"Ambeo","AMBITION"
ABE,"Arberia Airlines","ARBERIA AIRLINES"
ACE,"Air Charter Express",""
ACQ,"Aryan Cargo Express",""
ACS,"Aircraft Sales and Services","AIRCRAFT SALES"
ABS,"Air Central","AIR CENTRAL"
ADT,"Arrendaminetos y Transportes Turisticos","ARRENDA-TRANS"
ADZ,"Avio Delta",""
AED,"Aie Experience Flight","AIE EXPERIENCE"
AFF,"Africa Airways","AFRIWAYS"
AFM,"AEROSPEED FORMATION ET MAINTENANCE","EPIC AIR"
LBR,"Air Costa (Lepl Project Limited)",""
FLA,"Air Florida","PALM"
MAC,"Air Arabia Maroc","ARABIA MAROC"
MRY,"Air Marine","AIR MARINE"
PNK,"Air Pink","AIRPINK"
PXG,"Aitheras Aviation Group",""
AFN,"African International Airlines","SIMBA"
ADO,"AIRDO","AIR DO"
ACC,"Airspeed Charter",""
PNX,"AIS Airlines","SPINNER"
AVD,"Álamo Aviación, S.L.","ALAMO"
FSY,"Algonquin Airlink","FROSTY"
TTX,"Alliance Air Charters","TWISTER"
LMU,"AlMasria Universal Airlines","ALMASRIA"
ALN,"Alpha Jet, S.R.O.","TOLEMAC"
APN,"Alpine Airlines","AIR ALPES"
BAH,"The Amiri Flight","BAHRAIN"
AWG,"Animawings","ANIMA WINGS"
TLB,"Atlantique Air Assistance","TRIPLE-A"
UJX,"Atlas Ukraine Airlines","ATLAS UKRAINE"
AGM,"Aviation West Charters","ANGEL MED"
NVD,"Avion Express","NORDVIND"
AZB,"Azamat","TUMARA"
AEN,"Aeroland Airways","AEROLAND"
NGF,"Air Charity Network","ANGEL FLIGHT"
WFT,"Aircharters Worldwide","WORLD FLIGHT"
ASL,"Air Serbia","AIR SERBIA"
LYN,"Air Kyrgyzstan","ALTYN AVIA"
CCM,"Air Corsica","CORSICA"
AHS,"AHS Air International","HIGH SKY"
ROO,"Aero Roa","AERO ROA"
AWF,"Aeroforward",""
SUP,"Aeronautical Charters","SUN SPEED"
PSO,"Aerotaxis Pegaso","AEROPEGASO"
EIN,"Aer Lingus","SHAMROCK"
EUK,"Aer Lingus UK","GREEN FLIGHT"
VLB,"Air Volta","VOLTA"
FCJ,"AirSprint US","FRACJET"
TEW,"Airteam Charter","TEAMWORK"
STT,"Alpha Star Charter","STAR CHARTER"
LBZ,"Angkasa Super Service",""
HEZ,"Arrow Aviation","ARROW"
UAH,"Air Experience Flight, Cranwell",""
RVQ,"Aero Jet International","REVA AIR"
ASK,"Aerosky","MULTISKY"
AEH,"Aero4m","AEROCUTTER"
ERO,"Aeroecom","AEROECOM"
XAU,"Aerolink Uganda","PEARL"
NKY,"Aeromonkey","AEROMON"
AWP,"Aeroworld Pakistan",""
AGA,"AG Air","GEOLINE"
ABZ,"Air Ambulance Services","ISLAND LIFEFLIGHT"
ROU,"Air Canada Rouge","ROUGE"
CNM,"Air China Inner Mongolia","MENGYUAN"
VRE,"Air Côte d'Ivoire","COTE DIVORIE"
AWL,"Air Walser",""
AXY,"Air X Charter","LEGEND"
OES,"ART Aviation","ART AUSTRIA"
ASF,"Austrian Air Force","AUSTRIAN AIRFORCE"
AVG,"Aviation Legacy","AVILEF"
AZY,"Aztec Worldwide Airlines","AZTEC WORLD"
ACX,"Air Cargo Germany","LOADMASTER"
AAD,"Aero Aviation Centre Ltd.","SUNRISE"
SII,"Aero Servicios Ejecutivos Internacionales","ASEISA"
BZS,"Aero Biniza","BINIZA"
AET,"Aero-Palma","AERO PALMA"
ABM,"Aero Albatros","ALBATROS ESPANA"
AAF,"Aigle Azur","AIGLE AZUR"
AAM,"Aim Air",""
AAO,"Atlantis Airlines (USA)","ATLANTIS AIR"
AAP,"Aerovista Airlines","AEROVISTA GROUP"
AAS,"Askari Aviation","AL-ASS"
AAU,"Australia Asia Airlines","AUSTASIA"
AAV,"Astro Air International","ASTRO-PHIL"
AAW,"Afriqiyah Airways","AFRIQIYAH"
AFU,"Afrinat International Airlines","AFRINAT"
AAX,"Afric'air Express","AFREX"
BRL,"Air Brasd'or","BRASD'OR"
AFH,"Air Fecteau","FECTO"
BRM,"Air 500","BOOMERANG"
AAG,"Atlantic Flight Training","ATLANTIC"
AAG,"Air Atlantique","ATLANTIC"
AAJ,"Air Alma","AIR ALMA"
ACS,"Air Cess",""
ADT,"Air Dorval","AIR DORVAL"
AHN,"Air Hungaria","AIR HUNGARIA"
AHR,"Air Adriatic","ADRIATIC"
AHK,"Air Hong Kong","AIR HONG KONG"
AHS,"Air Viggi San Raffaele","AIRSAR"
AAI,"Air Aurora","BOREALIS"
ACU,"Air Cargo Transportation System","AFRISPIRIT"
ACV,"Air Charter Service",""
ADC,"Air Atlantic Dominicana","ATLAN-DOMINICAN"
ADW,"Air Andaman","AIR ANDAMAN"
AEA,"Air Europa","EUROPA"
AEQ,"Air Express","LUNA"
AEY,"Air Italy","AIR ITALY"
ASW,"Air Southwest Ltd.","AIRSOUTHWEST"
ASX,"Air Special","AIRSPEC"
AMU,"Air Macau","AIR MACAO"
AMW,"Armenia Airways","ARMENIA"
SEY,"Air Seychelles","SEYCHELLES"
SFB,"Air Sofia","AIR SOFIA"
BRF,"Air Bravo","AIR BRAVO"
AFR,"Air France","AIRFRANS"
ACG,"Air Partner","AIR PARTNER"
ACI,"Air Caledonie International","AIRCALIN"
VSG,"AirClass Airways","VISIG"
AKX,"Air Nippon Network Co. Ltd.","ALFA WING"
ALM,"Air ALM","ANTILLEAN"
ALN,"Air Lincoln","CHICAGO LINCOLN"
ACM,"Air Caledonia","WEST CAL"
AXE,"AirExplore","GALILEO"
AGM,"Air Guam","AIR GUAM"
AWI,"Air Wisconsin","WISCONSIN"
ALU,"Air Luxor STP","LUXORJET"
RSI,"Air Sunshine","AIR SUNSHINE"
AGN,"Air Gabon","GOLF NOVEMBER"
RUN,"Air ACT","CARGO TURK"
AFV,"Air Afrique Vacancies","AFRIQUE VACANCE"
ABN,"Air Albania","AIR ALBANIA"
AAQ,"Air Alliance","LIAISON"
ATW,"Air Antwerp","DEVIL"
ABL,"Air Busan","AIR BUSAN"
ACH,"Air Cargo Plus","AIR PLUS"
AAT,"Air Central Asia",""
LEP,"Air Costa","LECOSTA"
AFS,"Air Data",""
GRL,"Air Greenland","GREENLAND"
GUY,"Air Guyane Express","GREEN BIRD"
AHO,"Air Hamburg","AIR HAMBURG"
AJX,"Air Japan","AIR JAPAN"
LIB,"Air Liberté","LIBERTE"
KLA,"Air Lithuania","KAUNAS"
AIM,"Air Malawi","MALAWI"
AMI,"Air Maldives","AIR MALDIVES"
BIE,"Air Mediterranee","MEDITERRANEE"
MKG,"Air Mekong","MEKONG"
AMG,"Air Minas Linhas Aéreas","AIR MINAS"
MNE,"Air Montenegro","MOUNT EAGLE"
TAH,"Air Moorea","AIR MOOREA"
ANV,"Air Nevada","AIR NEVADA"
ANZ,"Air New Zealand","NEW ZEALAND"
ANT,"Air North Charter - Canada","AIR NORTH"
AOE,"Air One Executive",""
AEI,"Air Poland","POLISH BIRD"
APZ,"Air Premia","AIR PREMIA"
AVZ,"Air Valencia","AIR VALENCIA"
AMO,"Air Montreal (Air Holdings Inc.)","AIR MONTREAL"
AMR,"Air Specialties Corporation","AIR AM"
AMS,"Air Muskoka","AIR MUSKOKA"
AOJ,"Avcon Jet","ASTERIX"
AJU,"Air Jetsul","AIRJETSUL"
AKA,"Air Korea Co. Ltd.",""
LIV,"Air Livonia","LIVONIA"
ABL,"Air BC","AIRCOACH"
ABN,"Air Fret Senegal",""
LJA,"Air Jamahiriya Company","AIR JAMAHIRIYA"
AGB,"Air Service Gabon",""
AGV,"Air Glaciers","AIR GLACIERS"
MVM,"Air Cargo America","PEGASUS"
AMY,"Air Ambar","AIR AMBAR"
VGA,"Air Vegas","AIR VEGAS"
AOU,"Air Tractor","AIR TRACTOR"
APA,"Air Park Aviation Ltd.","CAN-AM"
APG,"Air People International","AIR PEOPLE"
ANA,"All Nippon Airways","ALL NIPPON"
ANB,"Air Navigation And Trading Co. Ltd.","AIR NAV"
NGO,"Air-Angol","AIR ANGOL"
TWG,"air-taxi Europe","TWINGOOSE"
NGP,"Air Nigeria","REGAL EAGLE"
SNC,"Air Cargo Carriers","NIGHT CARGO"
SND,"Air Samarkand","ARSAM"
SNG,"Air Senegal International","AIR SENEGAL"
SNY,"Air Sandy","AIR SANDY"
AII,"Air Integra","INTEGRA"
BFF,"Air Baffin","AIR BAFFIN"
BDM,"Air Bandama","BANDAMA"
BER,"Air Berlin","AIR BERLIN"
ABT,"Air Brousse","AIR BROUSSE"
APV,"Air Plan International","AIR PLAN"
ARX,"Air Xpress, Inc.","AIREX"
HTT,"Air Tchad","HOTEL TANGO"
ARZ,"Air Resorts","AIR RESORTS"
ASB,"Air-Spray 1967 Ltd.","AIR SPRAY"
ASC,"Air Star Corporation","AIR STAR"
ASD,"Air Sinai","AIR SINAI"
AQN,"Air Queensland","BUSHAIR"
ARC,"Air Routing International Corp.",""
ARR,"Air Armenia","AIR ARMENIA"
AIL,"Air Illinois","AIR ILLINOIS"
AIC,"Air India Limited","AIRINDIA"
AIG,"Air Inter Gabon",""
SPM,"Air Saint Pierre","SAINT-PIERRE"
WOW,"Air Southwest","SWALLOW"
ATJ,"Air Traffic GmbH","SNOOPY"
ATN,"Air Transport International","AIR TRANSPORT"
ATQ,"Air Transport Schiphol","MULTI"
ATS,"Air Transport Service",""
AVG,"Air Falcon","DJIBOUTI FALCON"
AUX,"Air Uganda International Ltd.",""
AVN,"Air Vanuatu","AIR VAN"
BUB,"Air Bourbon","BOURBON"
ABD,"Air Atlanta Icelandic","ATLANTA"
AIE,"Air Inuit","AIR INUIT"
AIS,"Air Sureste","SURESTE"
SBK,"Air Srpska","Air Srpska"
THT,"Air Tahiti Nui","TAHITI AIRLINES"
NMB,"Air Namibia","NAMIBIA"
NSK,"Air Intersalonika","INTERSALONIKA"
NTL,"Air Anatolia","AIR ANATOLIA"
SGA,"Air Saigon","AIR SAIGON"
AFW,"Afrique Regional Airways","AFRAIR"
AFW,"Africa World Airlines","BLACKSTAR"
ACX,"Air Charters","PARAIR"
AEL,"Air Europe Italy","AIR EUROPE"
AJM,"Air Jamaica","JAMAICA"
AWN,"Air Niamey","AIR NIAMEY"
AWT,"Air West","AIR WEST"
AWW,"Air Wales","RED DRAGON"
FWI,"Air Caraïbes","FRENCH WEST"
AXB,"Air India Express","EXPRESS INDIA"
AXD,"Air Express","AIR SUDEX"
BSB,"Air Wings","ARBAS"
BTI,"Air Baltic","AIRBALTIC"
ANI,"Air Atlantic (Nig) Limited","NIGALANTIC"
ANK,"Air Nippon","ANK AIR"
ANE,"Air Nostrum","AIR NOSTRUM"
ANG,"Air Niugini","NIUGINI"
ABY,"Air Arabia","ARABIA"
ACA,"Air Canada","AIR CANADA"
LAV,"AlbaStar","ALBASTAR"
MHS,"Air Memphis","AIR MEMPHIS"
AXL,"Air Exel","EXEL COMMUTER"
AZF,"Air Zermatt AG","AIR ZERMATT"
AZW,"Air Zimbabwe","AIR ZIMBABWE"
MHU,"Air Memphis","MEPHIS UGANDA"
MKH,"Air Marrakech Service","AIR MARRAKECH"
AZX,"Air Max Africa","AZIMA"
RSH,"Air Sahara","SAHARA"
ATA,"Air Transport Association",""
ATC,"Air Tanzania","TANZANIA"
XAC,"Air Charter World",""
VBW,"Air Burkina","BURKINA"
ATH,"Air Travel Corp.","AIR TRAVEL"
AMC,"Air Malta","AIR MALTA"
TGA,"Air Togo","AIR TOGO"
ASJ,"Air Satellite","SATELLITE"
ASN,"Air and Sea Transport",""
ASS,"Air Class, S.A. de C.V.","AIR CLASS"
NPL,"Air Nepal International","AIR NEPAL"
NPR,"Air Napier",""
WAM,"Air Taxi & Cargo","TAXI CARGO"
RSM,"Air Somalia","AIR SOMALIA"
AWZ,"AirWest",""
AAY,"Allegiant Air","ALLEGIANT"
AAZ,"Angus Aviation","ANGUS"
ABA,"Artem-Avia","ARTEM-AVIA"
ABB,"African Business and Transportations","AFRICAN BUSINESS"
ABF,"Aerial Oy","SKYWINGS"
ABK,"Alberta Citylink","ALBERTA CITYLINK"
ABO,"APSA Colombia","AEROEXPRESO"
ABV,"Antrak Air","ANTRAK"
ABX,"Airborne Express","ABEX"
ABZ,"ATA Brasil","ATA-BRAZIL"
ACC,"Avcard Services",""
ACY,"Atlas Cargo Airlines","ATLAS CARGOLINES"
ADA,"Airservices Australia","AUSCAL"
TID,"Air Tindi","TINDI"
ADB,"Antonov Airlines","ANTONOV BUREAU"
ADG,"Aerea Flying Training Organization","AEREA TRAINING"
ADI,"Audeli Air","AUDELI"
ADL,"Aero Dynamics","COTSWOLD"
ADN,"Aero-Dienst","AERODIENST"
ADP,"Aerodiplomatic","AERODIPLOMATIC"
ADY,"Air Arabia Abu Dhabi","Nawras"
ADQ,"Avion Taxi","AIR DATA"
ADS,"Aviones de Sonora","SONORAV"
ADU,"Airdeal Oy","AIRDEAL"
AEB,"Aero Benin","AEROBEN"
AEC,"Aerocésar","AEROCESAR"
AED,"Aerotrans Airlines",""
ADX,"Anderson Aviation","ANDAX"
AEI,"Aeroexpreso Interamericano","INTERAM"
AEJ,"Air Express","KHAKI EXPRESS"
AEK,"Aerocon","AEROCON"
AEM,"Aero Madrid","AEROMADRID"
AEN,"Air Enterprise","AIR ENTERPRISE"
AEO,"Aeroservicios Ejecutivos Del Occidente","AERO OCCIDENTE"
AEP,"Aerotec Escuela de Pilotos","AEROTEC"
AAC,"AmericanConnection","CONNECT AMERICA"
AAA,"Ansett Australia","ANSETT"
AAC,"Army Air Corps","ARMYAIR"
AEU,"Astraeus","FLYSTAR"
AEV,"Aeroventas","AEROVENTAS"
AEW,"Aerosvit Airlines","AEROSVIT"
AEX,"Airway Express","AVCO"
AEZ,"Aerial Transit","AERIAL TRANZ"
AFA,"Alfa Air","BLUE ALFA"
AFB,"American Falcon","AMERICAN FALCON"
UTY,"Alliance Airlines","UNITY"
UVS,"Air Universal","UNI-LEONE"
UVT,"Auvia Air","AUVIA"
AFC,"African West Air","AFRICAN WEST"
AFE,"Airfast Indonesia","AIRFAST"
AFG,"Ariana Afghan Airlines","ARIANA"
AFI,"Africaone","AFRICAWORLD"
AFJ,"Alliance Air","JAMBO"
AFK,"Africa Air Links","AFRICA LINKS"
AFO,"Aero Empresa Mexicana","AERO EMPRESA"
AFQ,"Alba Servizi Aerotrasporti","ALBA"
AFX,"Airfreight Express",""
AFY,"Africa Chartered Services","AFRICA CHARTERED"
AFZ,"Africa Freight Services","AFREIGHT"
AGA,"Aeronaves Del Centro",""
AGC,"Arab Agricultural Aviation Company","AGRICO"
AGF,"Atlantic Gulf Airlines","ATLANTIC GULF"
SLI,"Aeroméxico Connect","COSTERA"
AGG,"Algoma Airways","ALGOMA"
AGH,"Altagna","ALTAGNA"
AGO,"Angola Air Charter","ANGOLA CHARTER"
AGP,"AERFI Group","AIR TARA"
AGT,"Amadeus IT Group","AMADEUS"
AGU,"Angara Airlines","SARMA"
AGW,"Aero Gambia","AERO GAMBIA"
AGX,"Aviogenex","GENEX"
BLR,"Atlantic Coast Airlines","BLUE RIDGE"
BLZ,"Aero Barloz","AEROLOZ"
PLI,"Aeroperú","Aeroperu"
BMM,"Atlas Blue","ATLAS BLUE"
BNB,"Aero Banobras","AEROBANOBRAS"
AGY,"Aero Flight Service","FLIGHT GROUP"
AGZ,"Agrolet-Mci","AGROLET"
AHA,"Air Alpha Greenland","AIR ALPHA"
AHC,"Azal Avia Cargo","AZALAVIACARGO"
AHE,"Airport Helicopter Basel, Muller & Co.","AIRPORT HELICOPTER"
CJE,"Aeroservices Corporate","BIRD JET"
AHF,"Aspen Helicopters","ASPEN"
AHG,"Aerochago Airlines","AEROCHAGO"
AHH,"Airplanes Holdings","AIRHOLD"
AHP,"Aerochiapas","AEROCHIAPAS"
AHW,"Aeromist-Kharkiv","AEROMIST"
AHY,"Azerbaijan Airlines","AZAL"
AIA,"Avies","AVIES"
AIB,"Airbus Industrie","AIRBUS INDUSTRIE"
AIH,"Air Incheon","AIR INCHEON"
ASV,"Air Seoul","AIR SEOUL"
AIK,"African Airlines International Limited","AFRICAN AIRLINES"
AIN,"African International Airways","FLY CARGO"
AIP,"Alpine Air Express","ALPINE AIR"
AIU,"Alicante Internacional Airlines","ALIA"
ABQ,"Airblue","AIRBLUE"
THM,"Airmark Aviation","THAI AIRMARK"
AIR,"Airlift International","AIRLIFT"
AIT,"Airest","AIREST CARGO"
AIV,"Airvias S/A Linhas Aéreas","AIRVIAS"
BES,"Aero Services Executive","BIRD EXPRESS"
AIW,"Atlantic Island Airways","TARTAN"
AIX,"Aircruising Australia","CRUISER"
AIY,"Aircrew Check and Training Australia","AIRCREW"
AIZ,"Arkia Israel Airlines","ARKIA"
AJA,"Afghan Jet International Airlines","AFGHAN JET"
AJB,"Aero JBR","AERO JBR"
AJE,"Aero Jet Express","JET EXPRESS"
AJI,"Ameristar Jet Charter","AMERISTAR"
AJK,"Allied Air","BAMBI"
AJO,"Aero Ejecutivo","AEROEXO"
AJS,"Aeroejecutivos Colombia","AEROEJECUTIVOS"
AJT,"Amerijet International","AMERIJET"
AJV,"ANA & JP Express","AYJAY CARGO"
AJW,"Alpha Jet International","ALPHAJET"
AJY,"AJet","AYJET"
AKB,"Aktjubavia","KARAB"
AKC,"Arca Aerovías Colombianas Ltda.","ARCA"
AKF,"Anikay Air Company","ANIKAY"
AKH,"Akhal","AKHAL"
MNI,"Aeromilenio","AEROMIL"
AKK,"Aklak Air","AKLAK"
AKL,"Air Kiribati","KIRIBATI"
AKN,"Alkan Air","ALKAN AIR"
AKW,"Angkor Airways","ANGKORWAYS"
AKZ,"AK Navigator LLC","ABSOLUTE"
ALB,"Aero Albatros","ALBATROS"
ALD,"Albion Aviation","ALBION"
ALE,"Aeroalas Colombia","AEROALAS"
ALF,"Allied Command Europe (Mobile Force)","ACEFORCE"
FYS,"American Flyers","AMERICAN FLYERS"
DFA,"Aero Coach Aviation","AERO COACH"
ASQ,"Atlantic Southeast Airlines","ACEY"
ALG,"Air Logistics","AIRLOG"
ALL,"Aerovallarta","VALLARTA"
AWE,"America West Airlines","CACTUS"
TNO,"Aerotransporte de Carga Union","AEROUNION"
TND,"Aero Taxis Cessna","TAXIS CESSNA"
TMP,"Arizona Express Airlines","TEMPE"
ALO,"Allegheny Commuter Airlines","ALLEGHENY"
ALP,"Allpoints Jet","ALLPOINTS"
ALP,"Alpliner AG","ALPINER"
ALQ,"Altair Aviation (1986)","ALTAIR"
ALV,"Aeropostal Alas de Venezuela","AEROPOSTAL"
ALW,"Alas Nacionales, S.A.","ALNACIONAL"
ALY,"Alyeska Air Service","ALYESKA"
ALZ,"Alta Flights (Charters) Ltd.","&nbsp;"
AMA,"ATMA","ADIK"
AMD,"Aerolíneas Medellín","AEROLINEAS MEDELLIN"
AMF,"Ameriflight","AMFLIGHT"
AMH,"Alan Mann Helicopters Ltd.","MANN"
AMJ,"Aviation Amos","AVIATION AMOS"
AMK,"Amerer Air","AMER AIR"
AMM,"Aeroputul International Marculesti","AEROM"
AMM,"Air 2000","JETSET"
AMP,"Aero Transporte S.A. (ATSA)","ATSA"
AMQ,"Aeromedicare Ltd.","LIFELINE"
AMQ,"Aircraft Management and Consulting","AMEX"
AMT,"ATA Airlines","AMTRAN"
AMV,"AMC Airlines","AMC AIRLINES"
AMX,"Aeroméxico","AEROMEXICO"
AMZ,"Amiya Airline","AMIYA AIR"
ANC,"Anglo Cargo","ANGLO"
BRP,"AeroBratsk","AEROBRA"
ANH,"Alajnihah for Air Transport","ALAJNIHAH"
ANM,"Aerotransportacion de Norteamerica","NORAM"
ANM,"Antares Airtransport, Maintenance & Service GmbH","ANTARES"
ANO,"Airnorth","TOPEND"
ANQ,"Aerolínea de Antioquia","ANTIOQUIA"
ANS,"Andes Líneas Aéreas","AEROANDES"
AOM,"AOM French Airlines","French Lines"
ANW,"Aviación Del Noroeste, S.A. de C.V.","AVINOR"
SAP,"Avia Jaynar","TOBOL"
EMS,"Aero Servicios Empresariales","SERVIEMPRESARIAL"
AOA,"Alcon Servicios Aéreos, S.A. de C.V.","ALCON"
AOC,"AVCOM","AERO AVCOM"
AOD,"Aero Vodochody","AERO CZECH"
AOF,"Atair Pty Ltd.","ATAIR"
AOG,"Aero VIP","AVIP"
MUN,"Aeromundo Ejecutivo","AEROMUNDO"
MUR,"Aerolínea Muri","MURI"
AOI,"Astoria, Inc.","ASTORIA"
NRO,"Aero Rent JSC","AEROMASTER"
NRP,"Aeronord-Grup","AERONORD"
AOK,"Aeroatlantico Colombia",""
AOL,"Angkor Airlines","ANGKOR AIR"
AON,"Aero Entreprise","AERO ENTERPRISE"
AOO,"As, Opened Joint Stock Company","COMPANY AS"
AOP,"Aeropiloto","AEROPILOTO"
VIV,"Aeroenlaces Nacionales","AEROENLACES"
VIZ,"Aerovis Airlines","AEROVIZ"
VJE,"AvJet Routing",""
